freq,currency,nace_r2,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 
A,MIO_EUR,A,DE71	: 	: 	: 	: 	: 	94.71 	100.77 	89.68 	81.41 	75.56 	95.21 	172.3 	126.38 	136.83 	137.08 	110.34 	149.97 	130 	137.51 	129.34 	136.07 	142.65 	135.13 	124.04 	142.4 	: 
A,MIO_EUR,A,DE72	: 	: 	: 	: 	: 	67.3 	73.12 	68.92 	59.66 	52.71 	60.06 	65.97 	65.04 	80.29 	79.44 	64.92 	83.69 	80 	76.16 	82.7 	79.2 	77.59 	81.08 	74.97 	75.96 	: 
A,MIO_EUR,A,DE73	: 	: 	: 	: 	: 	121.87 	137.65 	125.93 	112.22 	99.34 	111.02 	135.48 	135.84 	144.8 	135.24 	135.79 	155.12 	130.22 	156.21 	151.42 	170.45 	170.43 	143.12 	160.47 	158.18 	: 
A,MIO_EUR,A,DE8	: 	: 	: 	: 	: 	320.28 	313.07 	315.61 	276.96 	308.06 	375.34 	398.52 	406.45 	504.48 	461.58 	353.94 	444.7 	437.08 	446.8 	447.47 	426.18 	333.47 	324.74 	370.4 	359.65 	: 
A,MIO_EUR,A,DE80	: 	: 	: 	: 	: 	320.28 	313.07 	315.61 	276.96 	308.06 	375.34 	398.52 	406.45 	504.48 	461.58 	353.94 	444.7 	437.08 	446.8 	447.47 	426.18 	333.47 	324.74 	370.4 	359.65 	: 
A,MIO_EUR,A,DE9	: 	: 	: 	: 	: 	1158.31 	1196.46 	1080.71 	1017.89 	981.37 	1219.47 	1506.28 	1517.5 	1782.74 	1778.22 	1478.5 	1865.82 	1747.38 	1867.55 	1833.55 	1718.11 	1680.26 	1737.57 	1743.19 	1786.46 	: 
A,MIO_EUR,A,DE91	: 	: 	: 	: 	: 	201.52 	199.91 	185.31 	173.1 	150.57 	170.82 	210.83 	243 	289 	245.3 	216.45 	278.52 	254.39 	302.5 	304.81 	286.16 	318.41 	275.11 	292.16 	296.18 	: 
A,MIO_EUR,A,DE92	: 	: 	: 	: 	: 	243.67 	248.17 	225.23 	211.79 	195.54 	229 	274.06 	292.95 	343.55 	302.14 	253.75 	326.67 	321.78 	309.11 	296.9 	289.76 	264.37 	257.87 	273.01 	283.39 	: 
A,MIO_EUR,A,DE93	: 	: 	: 	: 	: 	283.14 	290.18 	259.79 	249.22 	247.19 	321.19 	403.08 	410.85 	477.37 	431.16 	337.03 	445.93 	408.48 	422.65 	434.11 	393.92 	400.89 	426.07 	465.81 	449.29 	: 
A,MIO_EUR,A,DE94	: 	: 	: 	: 	: 	429.98 	458.2 	410.39 	383.79 	388.07 	498.46 	618.32 	570.7 	672.82 	799.63 	671.26 	814.71 	762.74 	833.3 	797.74 	748.28 	696.59 	778.51 	712.21 	757.59 	: 
A,MIO_EUR,A,DEA	: 	: 	: 	: 	: 	736.93 	762.8 	753.76 	721.47 	702.92 	848.53 	946.7 	885.47 	1045.97 	1019.77 	967.87 	1225.2 	1155.45 	1144.44 	1125.52 	1146.24 	1117.69 	1214.87 	1167.67 	1290.27 	: 
A,MIO_EUR,A,DEA1	: 	: 	: 	: 	: 	150.27 	167.13 	195.75 	172.51 	161.07 	217.23 	238.6 	198.38 	243.09 	254.91 	209.62 	272.3 	240.08 	237.92 	226.51 	231.69 	210.5 	241.14 	280.86 	307.05 	: 
A,MIO_EUR,A,DEA2	: 	: 	: 	: 	: 	134.83 	106.44 	111.6 	110.73 	123.06 	136.87 	161.81 	142.14 	172.63 	155.05 	134.71 	184.23 	155.36 	164.26 	162.82 	168.38 	154.49 	174.44 	179.21 	188.24 	: 
A,MIO_EUR,A,DEA3	: 	: 	: 	: 	: 	226.07 	251.57 	218.63 	214.22 	205.74 	243.99 	271.71 	267.4 	312.58 	311.83 	339.61 	406.26 	409.52 	396.75 	369.73 	405.43 	407.64 	438.49 	365.62 	419.42 	: 
A,MIO_EUR,A,DEA4	: 	: 	: 	: 	: 	136.15 	140.06 	135.53 	121.42 	131.26 	146.61 	158.28 	147.96 	182.94 	175.57 	156.06 	208.9 	193.73 	183.93 	205.48 	187.11 	200.74 	206.45 	185.07 	199.36 	: 
